PA1 timing test,
srun -N2 PA1 10000 30 10000,
The following timings are the average of 30 tests:,
Integers , Seconds
123,5.9333E-05
124,5.9967E-05
125,6.01E-05
126,6.0267E-05
127,6.0367E-05
128,6.0967E-05
129,6.1033E-05
130,6.1433E-05
131,6.1033E-05
132,6.14E-05
133,6.1433E-05
134,6.1767E-05
135,6.2E-05
136,6.1533E-05
137,6.2267E-05
138,6.1933E-05
139,6.1933E-05
140,6.21E-05
141,6.29E-05
142,6.2533E-05
143,6.2967E-05
144,6.2833E-05
145,6.3367E-05
146,6.3467E-05
147,6.3833E-05
148,6.38E-05
149,6.35E-05
150,6.3867E-05
151,6.4167E-05
152,6.3933E-05
153,6.4133E-05
154,6.4733E-05
155,6.4733E-05
156,6.4667E-05
157,6.4933E-05
158,6.5467E-05
159,6.5133E-05
160,6.5667E-05
161,6.5667E-05
162,6.6067E-05
163,6.6033E-05
164,6.65E-05
165,6.64E-05
166,6.6867E-05
167,6.64E-05
168,6.66E-05
169,6.6433E-05
170,6.67E-05
171,6.6667E-05
172,6.6967E-05
173,6.7167E-05
174,6.7833E-05
175,6.7733E-05
176,6.8033E-05
177,6.8E-05
178,6.92E-05
179,6.9033E-05
180,6.9133E-05
181,6.92E-05
182,6.9167E-05
183,6.8667E-05
184,6.8933E-05
185,6.9167E-05
186,6.91E-05
187,6.91E-05
188,6.9533E-05
189,6.9867E-05
190,6.99E-05
191,7.0567E-05
192,7.03E-05
193,7.04E-05
194,7.0967E-05
195,7.1E-05
196,7.1033E-05
197,7.14E-05
198,7.1233E-05
199,7.1433E-05
200,7.15E-05
201,7.1533E-05
202,7.15E-05
203,7.2167E-05
204,7.1467E-05
205,7.2067E-05
206,7.2667E-05
207,7.2467E-05
208,7.31E-05
209,7.3133E-05
210,7.3167E-05
211,7.3133E-05
212,7.34E-05
213,7.3333E-05
214,7.32E-05
215,7.39E-05
216,7.3567E-05
217,7.44E-05
218,7.4533E-05
219,7.4433E-05
220,7.4067E-05
221,7.47E-05
222,7.4433E-05
223,7.4867E-05
224,7.5133E-05
225,7.56E-05
226,7.58E-05
227,7.5467E-05
228,7.5867E-05
229,7.67E-05
230,7.6133E-05
231,7.6633E-05
232,7.63E-05
233,7.6667E-05
234,7.67E-05
235,7.6433E-05
236,7.69E-05
237,7.7033E-05
238,7.74E-05
239,7.76E-05
240,7.73E-05
241,7.7633E-05
242,7.7933E-05
243,7.8333E-05
244,7.8467E-05
245,7.8667E-05
246,7.8667E-05
247,8.4967E-05
248,8.4867E-05
249,8.47E-05
250,8.5167E-05
251,8.5133E-05
252,8.51E-05
253,8.5867E-05
254,8.57E-05
255,8.5933E-05
256,8.59E-05
257,8.6233E-05
258,8.64E-05
259,8.6567E-05
260,8.68E-05
261,8.68E-05
262,8.7267E-05
263,8.72E-05
264,8.7267E-05
265,8.7333E-05
266,8.7033E-05
267,8.81E-05
268,8.7433E-05
269,8.7733E-05
270,8.8433E-05
271,8.8567E-05
272,8.8267E-05
273,8.8767E-05
274,8.9067E-05
275,8.9067E-05
276,8.91E-05
277,8.9667E-05
278,8.9067E-05
279,8.9633E-05
280,8.9567E-05
281,8.9467E-05
282,9.0033E-05
283,8.99E-05
284,9.01E-05
285,9.04E-05
286,9.0433E-05
287,9.0933E-05
288,9.0833E-05
289,9.1433E-05
290,9.0733E-05
291,9.1367E-05
292,9.1633E-05
293,9.2567E-05
294,9.17E-05
295,9.2333E-05
296,9.2333E-05
297,9.2433E-05
298,9.22E-05
299,9.23E-05
300,9.27E-05
301,9.29E-05
302,9.2967E-05
303,9.3267E-05
304,9.3267E-05
305,9.4067E-05
306,9.42E-05
307,9.3967E-05
308,9.3833E-05
309,9.44E-05
310,9.4467E-05
311,9.4867E-05
312,9.4967E-05
313,9.51E-05
314,9.46E-05
315,9.5233E-05
316,9.5267E-05
317,9.54E-05
318,9.5933E-05
319,9.58E-05
320,9.6067E-05
321,9.6633E-05
322,9.5633E-05
323,9.6467E-05
324,9.6567E-05
325,9.6533E-05
326,9.6633E-05
327,9.7267E-05
328,9.71E-05
329,9.78E-05
330,9.7867E-05
331,9.78E-05
332,9.81E-05
333,9.79E-05
334,9.85E-05
335,9.83E-05
336,9.7933E-05
337,9.8333E-05
338,9.91E-05
339,9.9367E-05
340,9.9367E-05
341,9.9367E-05
342,9.96E-05
343,9.9667E-05
344,9.9267E-05
345,9.97E-05
346,9.97E-05
347,0.000102133
348,0.0001015
349,0.000101833
350,0.000102267
351,0.0001023
352,0.000102633
353,0.000107933
354,0.0001072
355,0.0001076
356,0.0001073
357,0.0001073
358,0.000107267
359,0.000107133
360,0.000107167
361,0.000107267
362,0.000106867
363,0.000107467
364,0.000107533
365,0.0001076
366,0.000107133
367,0.000107
368,0.0001075
369,0.000107133
370,0.0001071
371,0.000107733
372,0.000107567
373,0.000107167
374,0.0001072
375,0.000106867
376,0.000107967
377,0.000107233
378,0.0001072
379,0.000107567
380,0.0001075
381,0.000107733
382,0.000107967
383,0.0001094
384,0.000108933
385,0.0001093
386,0.000108933
387,0.000108767
388,0.0001091
389,0.000109833
390,0.000109
391,0.000109533
392,0.000110567
393,0.0001102
394,0.000109067
395,0.000109233
396,0.000109067
397,0.000109333
398,0.000109133
399,0.000108933
400,0.000109333
401,0.0001087
402,0.000108133
403,0.000109167
404,0.000108367
405,0.000107933
406,0.000107867
407,0.000108167
408,0.0001078
409,0.000108
410,0.0001082
411,0.000107833
412,0.000108333
413,0.0001078
414,0.0001081
415,0.000108033
416,0.000108233
417,0.000108233
418,0.000108333
419,0.000108167
420,0.000108967
421,0.0001082
422,0.000108733
423,0.000108767
424,0.000109033
425,0.000108533
426,0.000108933
427,0.000108767
428,0.000109233
429,0.0001094
430,0.000109233
431,0.000109867
432,0.000111067
433,0.0001108
434,0.000110233
435,0.000111167
436,0.0001108
437,0.000111133
438,0.0001105
439,0.000111567
440,0.0001116
441,0.000111633
442,0.000111367
443,0.000112267
444,0.0001131
445,0.0001126
446,0.0001127
447,0.000113433
448,0.0001127
449,0.000113667
450,0.000113033
451,0.0001132
452,0.000112667
453,0.000113
454,0.0001129
455,0.000112767
456,0.000113833
457,0.000113067
458,0.000112733
459,0.000113267
460,0.000113267
461,0.000113067
462,0.000113033
463,0.000112933
464,0.000113033
465,0.0001129
466,0.000113133
467,0.000113567
468,0.000112867
469,0.000112833
470,0.000113567
471,0.000113467
472,0.000113233
473,0.000112633
474,0.0001136
475,0.000113367
476,0.0001133
477,0.000113233
478,0.0001129
479,0.0001131
480,0.0001133
481,0.0001127
482,0.000113267
483,0.000113
484,0.000113267
485,0.000113933
486,0.000113433
487,0.0001138
488,0.0001131
489,0.000113033
490,0.0001132
491,0.000113633
492,0.000113567
493,0.0001138
494,0.000113067
495,0.000113267
496,0.000113767
497,0.000113767
498,0.0001137
499,0.0001138
500,0.000113267
501,0.0001136
502,0.000113767
503,0.000113333
504,0.000113333
505,0.000113333
506,0.000113733
507,0.000113867
508,0.0001134
509,0.000113567
510,0.000114067
511,0.000113
512,0.0001141
513,0.000113367
514,0.000113167
515,0.0001136
516,0.000113633
517,0.000113567
518,0.0001136
519,0.000113467
520,0.000113367
521,0.0001136
522,0.000113567
523,0.0001135
524,0.0001135
525,0.0001135
526,0.000113767
527,0.0001134
528,0.000113667
529,0.000114067
530,0.000113333
531,0.0001142
532,0.0001131
533,0.000113233
534,0.0001136
535,0.000113833
536,0.000113567
537,0.0001138
538,0.000113767
539,0.000113833
540,0.000113367
541,0.000113633
542,0.000113967
543,0.000112967
544,0.000113467
545,0.000113367
546,0.000113567
547,0.000113733
548,0.000113533
549,0.000114267
550,0.000113933
551,0.000113933
552,0.0001133
553,0.0001136
554,0.0001134
555,0.0001138
556,0.000113133
557,0.0001138
558,0.0001135
559,0.000113233
560,0.000114033
561,0.000113267
562,0.0001134
563,0.000113767
564,0.000113967
565,0.000113333
566,0.0001138
567,0.000113633
568,0.000113267
569,0.000113467
570,0.000113133
571,0.0001135
572,0.0001133
573,0.000114067
574,0.000113633
575,0.000114133
576,0.000113833
577,0.0001143
578,0.0001134
579,0.000113833
580,0.0001138
581,0.000113433
582,0.000114
583,0.000113867
584,0.000114267
585,0.0001142
586,0.000113933
587,0.0001148
588,0.000114233
589,0.0001141
590,0.000115133
591,0.0001154
592,0.0001158
593,0.000115433
594,0.000115167
595,0.000115367
596,0.0001153
597,0.0001154
598,0.0001159
599,0.000116333
600,0.000116267
601,0.000115867
602,0.000116133
603,0.000116433
604,0.0001169
605,0.0001195
606,0.0001171
607,0.000116833
608,0.000116867
609,0.0001168
610,0.000116633
611,0.0001168
612,0.000117333
613,0.0001169
614,0.000117133
615,0.0001168
616,0.000116933
617,0.0001168
618,0.000117167
619,0.000117
620,0.0001169
621,0.000117133
622,0.000116767
623,0.000117233
624,0.000117033
625,0.0001172
626,0.000117167
627,0.0001174
628,0.000117033
629,0.000117233
630,0.0001173
631,0.000117333
632,0.0001174
633,0.000117533
634,0.000117733
635,0.000117567
636,0.000117967
637,0.0001176
638,0.0001176
639,0.000118067
640,0.0001182
641,0.000118233
642,0.000118133
643,0.0001182
644,0.0001182
645,0.000118033
646,0.0001184
647,0.000118533
648,0.0001187
649,0.0001188
650,0.000119
651,0.000118967
652,0.000118967
653,0.0001191
654,0.0001192
655,0.000119067
656,0.000119433
657,0.000119467
658,0.000119333
659,0.0001194
660,0.000119433
661,0.000119433
662,0.0001192
663,0.000119367
664,0.0001194
665,0.0001195
666,0.0001199
667,0.000119833
668,0.000119667
669,0.0001199
670,0.000120033
671,0.000119967
672,0.000119933
673,0.0001202
674,0.000120167
675,0.000120333
676,0.0001203
677,0.000120467
678,0.0001206
679,0.000120333
680,0.0001206
681,0.000120767
682,0.0001207
683,0.000121033
684,0.0001211
685,0.000121067
686,0.0001211
687,0.000121267
688,0.000121067
689,0.000121167
690,0.000121167
691,0.0001213
692,0.000121433
693,0.0001213
694,0.0001211
695,0.000121533
696,0.0001215
697,0.000121533
698,0.000121867
699,0.000122033
700,0.000122133
701,0.000122333
702,0.000122167
703,0.000122667
704,0.000122367
705,0.0001221
706,0.0001224
707,0.000122433
708,0.000122233
709,0.000122267
710,0.0001224
711,0.000122367
712,0.000122733
713,0.0001228
714,0.000122867
715,0.000122533
716,0.000122867
717,0.000122867
718,0.000122567
719,0.0001227
720,0.0001232
721,0.000122967
722,0.000123033
723,0.000123
724,0.0001226
725,0.000122933
726,0.000123267
727,0.0001227
728,0.000122333
729,0.000122633
730,0.000122533
731,0.000123467
732,0.0001226
733,0.000122633
734,0.000122867
735,0.000122967
736,0.000123133
737,0.000122333
738,0.000123167
739,0.0001234
740,0.000122867
741,0.000122833
742,0.0001231
743,0.000123367
744,0.000122967
745,0.0001236
746,0.000124733
747,0.000125
748,0.000124833
749,0.000124733
750,0.0001248
751,0.000125133
752,0.000125233
753,0.0001254
754,0.0001253
755,0.000125933
756,0.000124933
757,0.000123867
758,0.000124067
759,0.000123833
760,0.0001242
761,0.000124533
762,0.000124333
763,0.000124
764,0.000123833
765,0.000124133
766,0.000124067
767,0.0001237
768,0.000123767
769,0.000124267
770,0.000123933
771,0.000123667
772,0.000124233
773,0.000124133
774,0.000123833
775,0.000123467
776,0.000124333
777,0.0001246
778,0.000124267
779,0.000124467
780,0.0001248
781,0.000124867
782,0.000125133
783,0.0001246
784,0.0001246
785,0.000124733
786,0.000124533
787,0.0001245
788,0.000125467
789,0.000124733
790,0.0001254
791,0.000124867
792,0.000125933
793,0.0001284
794,0.000130333
795,0.000130367
796,0.000130667
797,0.000131833
798,0.000131467
799,0.000130033
800,0.000132733
801,0.000132767
802,0.000132767
803,0.000134
804,0.000134233
805,0.000134667
806,0.000137733
807,0.0001396
808,0.0001408
809,0.000143133
810,0.000142633
811,0.0001426
812,0.0001422
813,0.000142167
814,0.000143267
815,0.0001427
816,0.0001432
817,0.000143267
818,0.0001441
819,0.000143667
820,0.0001438
821,0.000143967
822,0.000143633
823,0.000143567
824,0.0001441
825,0.000144033
826,0.000143667
827,0.0001436
828,0.000144533
829,0.000144033
830,0.0001446
831,0.000143767
832,0.000144167
833,0.000144333
834,0.000144467
835,0.000144
836,0.000144333
837,0.000144467
838,0.0001443
839,0.000144333
840,0.000144467
841,0.000144167
842,0.0001446
843,0.000144533
844,0.000144167
845,0.0001445
846,0.0001443
847,0.000144033
848,0.000144333
849,0.000144133
850,0.000144567
851,0.000144633
852,0.0001451
853,0.000144733
854,0.000144767
855,0.000144333
856,0.000144533
857,0.000144367
858,0.0001448
859,0.000144467
860,0.000144667
861,0.000145267
862,0.0001445
863,0.000144967
864,0.000145233
865,0.000144633
866,0.000144367
867,0.000144533
868,0.0001447
869,0.000143867
870,0.0001445
871,0.000144367
872,0.0001447
873,0.000157767
874,0.0001442
875,0.000144
876,0.000144467
877,0.000144533
878,0.000144133
879,0.000144233
880,0.0001442
881,0.000144033
882,0.0001439
883,0.000144367
884,0.000144367
885,0.000144567
886,0.0001448
887,0.000144933
888,0.000144533
889,0.000144367
890,0.000144267
891,0.0001443
892,0.000144
893,0.000144233
894,0.0001441
895,0.000143833
896,0.0001446
897,0.0001447
898,0.000144533
899,0.0001445
900,0.000144733
901,0.000144833
902,0.000143833
903,0.000144167
904,0.000144667
905,0.000144333
906,0.000144033
907,0.000144167
908,0.0001441
909,0.000144067
910,0.0001443
911,0.000144133
912,0.000144067
913,0.000144567
914,0.0001579
915,0.000144
916,0.000144033
917,0.0001444
918,0.000144567
919,0.0001443
920,0.0001446
921,0.0001442
922,0.000144167
923,0.000143833
924,0.000144633
925,0.0001442
926,0.0001444
927,0.000144
928,0.000144033
929,0.000144433
930,0.000144533
931,0.0001444
932,0.000144
933,0.0001442
934,0.000143933
935,0.0001446
936,0.000144533
937,0.000144333
938,0.0001444
939,0.000144367
940,0.000144233
941,0.000144633
942,0.000144533
943,0.0001442
944,0.000144
945,0.000143767
946,0.000144167
947,0.000144367
948,0.0001448
949,0.000144633
950,0.0001441
951,0.0001443
952,0.000143967
953,0.000143967
954,0.000144167
955,0.000144267
956,0.0001446
957,0.000144567
958,0.000144633
959,0.000144533
960,0.0001445
961,0.0001446
962,0.0001447
963,0.000144133
964,0.000143933
965,0.000144333
966,0.000144467
967,0.000144467
968,0.0001442
969,0.000144533
970,0.000144033
971,0.000144567
972,0.000144367
973,0.0001445
974,0.000144333
975,0.000144167
976,0.000144433
977,0.000144633
978,0.000144167
979,0.000145033
980,0.000144133
981,0.000144367
982,0.000144433
983,0.000144367
984,0.0001447
985,0.000144667
986,0.000144933
987,0.000144433
988,0.000144467
989,0.0001447
990,0.0001442
991,0.000145467
992,0.0001445
993,0.000144467
994,0.000144267
995,0.000144433
996,0.000144767
997,0.000144367
998,0.0001446
999,0.0001445
1000,0.0001442
1001,0.000144033
1002,0.0001444
1003,0.0001446
1004,0.000144467
1005,0.000144933
1006,0.000144467
1007,0.000144933
1008,0.000144967
1009,0.000144567
1010,0.000144767
1011,0.000144533
1012,0.000144433
1013,0.0001445
1014,0.000144467
1015,0.000144367
1016,0.0001447
1017,0.0001446
1018,0.000144167
1019,0.0001447
1020,0.000144567
1021,0.000144733
1022,0.000144367
1023,0.000144567
1024,0.0001444
1025,0.000145
1026,0.0001444
1027,0.000144533
1028,0.0001445
1029,0.0001447
1030,0.000144567
1031,0.000144533
1032,0.0001447
1033,0.0001448
1034,0.000145
1035,0.000144567
1036,0.0001445
1037,0.000144667
1038,0.0001447
1039,0.0001443
1040,0.0001446
1041,0.000144233
1042,0.0001448
1043,0.0001443
1044,0.000144367
1045,0.000144867
1046,0.000144667
1047,0.000144567
1048,0.0001445
1049,0.000144533
1050,0.0001447
1051,0.0001449
1052,0.0001445
1053,0.0001451
1054,0.000144667
1055,0.000144767
1056,0.0001446
1057,0.0001451
1058,0.000145067
1059,0.000144733
1060,0.000145133
1061,0.000144567
1062,0.0001449
1063,0.0001456
1064,0.0001445
1065,0.0001447
1066,0.0001452
1067,0.000144633
1068,0.000144533
1069,0.000144867
1070,0.000144767
1071,0.000145167
1072,0.000144767
1073,0.000145
1074,0.000144567
1075,0.000145
1076,0.0001452
1077,0.000210533
1078,0.0002149
1079,0.000214833
1080,0.000214867
1081,0.000214867
1082,0.000210867
1083,0.000214967
1084,0.000214767
1085,0.000214867
1086,0.000214967
1087,0.000214767
1088,0.000214867
1089,0.0002149
1090,0.0002151
1091,0.000214833
1092,0.0002149
1093,0.000215
1094,0.000215
1095,0.0002148
1096,0.000214767
1097,0.0002149
1098,0.000214933
1099,0.000215
1100,0.0002149
1101,0.000214967
1102,0.000214867
1103,0.000214833
1104,0.000214867
1105,0.000215033
1106,0.0002142
1107,0.0002149
1108,0.0002149
1109,0.0002149
1110,0.000214933
1111,0.0002149
1112,0.000214967
1113,0.000214967
1114,0.000214933
1115,0.0002149
1116,0.000214867
1117,0.000214967
1118,0.0002149
1119,0.000214933
1120,0.000214933
1121,0.000214867
1122,0.0002149
1123,0.000214867
1124,0.0002148
1125,0.000214933
1126,0.000214933
1127,0.000214933
1128,0.000214933
1129,0.000214867
1130,0.000215
1131,0.0002149
1132,0.0002148
1133,0.000214967
1134,0.000214933
1135,0.000214933
1136,0.000214833
1137,0.000214867
1138,0.000215
1139,0.0002149
1140,0.000214933
1141,0.0002149
1142,0.0002149
1143,0.000214833
1144,0.000214967
1145,0.000214933
1146,0.000214933
1147,0.000214833
1148,0.000214967
1149,0.0002149
1150,0.000215
1151,0.000214933
1152,0.0002149
1153,0.000214867
1154,0.000214967
1155,0.000214867
1156,0.0002148
1157,0.0002149
1158,0.000214933
1159,0.000214933
1160,0.000214867
1161,0.000214867
1162,0.000214933
1163,0.000214933
1164,0.000214933
1165,0.000214867
1166,0.0002149
1167,0.000214933
1168,0.000214967
1169,0.000214867
1170,0.0002148
1171,0.0002148
1172,0.0002149
1173,0.000214867
1174,0.0002149
1175,0.000214767
1176,0.0002149
1177,0.0002148
1178,0.0002149
1179,0.000214867
1180,0.000214833
1181,0.000214933
1182,0.000214867
1183,0.0002149
1184,0.0002149
1185,0.000214867
1186,0.000214833
1187,0.000214967
1188,0.000214933
1189,0.0002147
1190,0.000215
1191,0.000214933
1192,0.000214867
1193,0.0002149
1194,0.0002149
1195,0.000214867
1196,0.000215533
1197,0.000214967
1198,0.000215
1199,0.000218933
1200,0.000214933
1201,0.0002156
1202,0.000215033
1203,0.000218867
1204,0.000214867
1205,0.000219633
1206,0.000215
1207,0.000248233
1208,0.0002866
1209,0.000286533
1210,0.000286633
1211,0.0002866
1212,0.000286667
1213,0.000286567
1214,0.0002865
1215,0.000286567
1216,0.0002913
1217,0.0002866
1218,0.0002866
1219,0.0002865
1220,0.000286567
1221,0.000286567
1222,0.000286633
1223,0.000286567
1224,0.0002865
1225,0.000286533
1226,0.000286567
1227,0.0002866
1228,0.000286567
1229,0.000286667
1230,0.000291433
1231,0.000286667
1232,0.000286567
1233,0.000286633
1234,0.000286567
1235,0.000286533
1236,0.0002866
1237,0.000286633
1238,0.000286633
1239,0.000286667
1240,0.000286633
1241,0.000286667
1242,0.000286533
1243,0.000286567
1244,0.0002866
1245,0.000286667
1246,0.000286567
1247,0.000286533
1248,0.0002866
1249,0.000286633
1250,0.0002866
1251,0.0002866
1252,0.000286667
1253,0.000286633
1254,0.0002866
1255,0.000286533
1256,0.000286633
1257,0.000286567
1258,0.0002866
1259,0.000286567
1260,0.000286667
1261,0.0002866
1262,0.000286633
1263,0.0002914
1264,0.000286633
1265,0.000286533
1266,0.0002866
1267,0.0002866
1268,0.000286533
1269,0.000291433
1270,0.000286567
1271,0.000286567
1272,0.000286667
1273,0.000286667
1274,0.000286533
1275,0.000286567
1276,0.000286567
1277,0.0002866
1278,0.000286533
1279,0.000286533
1280,0.000286633
1281,0.000286667
1282,0.000295733
1283,0.0002913
1284,0.0002866
1285,0.000291367
1286,0.000291433
1287,0.000286533
1288,0.0002866
1289,0.0002866
1290,0.000286633
1291,0.0002914
1292,0.000286567
1293,0.000291367
1294,0.0002913
1295,0.000286533
1296,0.000296
1297,0.000291533
1298,0.000296167
1299,0.000286667
1300,0.000286633
1301,0.0002961
1302,0.000296133
1303,0.000286467
1304,0.000296167
1305,0.000296133
1306,0.000286567
1307,0.000296067
1308,0.0003058
1309,0.0002914
1310,0.000296167
1311,0.0002961
1312,0.000300833
1313,0.0003105
1314,0.0003296
1315,0.0003055
1316,0.000305767
1317,0.000320067
1318,0.000334367
1319,0.000348433
1320,0.000348967
1321,0.000391533
1322,0.000391867
1323,0.0003963
1324,0.000406
1325,0.000406133
1326,0.000410833
1327,0.000406033
1328,0.0004061
1329,0.000411
1330,0.000424933
1331,0.000420367
1332,0.000420367
1333,0.000429967
1334,0.0004299
1335,0.000429967
1336,0.000430033
1337,0.000429933
1338,0.000429967
1339,0.0004299
1340,0.000429933
1341,0.000429967
1342,0.000429833
1343,0.0004301
1344,0.000439433
1345,0.000429867
1346,0.000429867
1347,0.000429933
1348,0.000429933
1349,0.000429933
1350,0.000429967
1351,0.000355567
1352,0.000166533
1353,0.000166
1354,0.0001664
1355,0.0001663
1356,0.000166267
1357,0.0001665
1358,0.0001661
1359,0.000167033
1360,0.000166733
1361,0.000166633
1362,0.000166867
1363,0.000166467
1364,0.000167867
1365,0.000167267
1366,0.000177733
1367,0.0002427
1368,0.0002483
1369,0.000248367
1370,0.000253167
1371,0.0002445
1372,0.000252167
1373,0.000253167
1374,0.000258767
1375,0.0002524
1376,0.000253833
1377,0.000257033
1378,0.000254133
1379,0.0002616
1380,0.000262767
1381,0.000267533
1382,0.000262633
1383,0.0002675
1384,0.000267467
1385,0.0002723
1386,0.000262867
1387,0.000257933
1388,0.0002673
1389,0.0002675
1390,0.000268467
1391,0.000261733
1392,0.000262633
1393,0.000267567
1394,0.000273067
1395,0.0002808
1396,0.0002818
1397,0.0002781
1398,0.000276067
1399,0.0002818
1400,0.0002817
1401,0.000286667
1402,0.000272233
1403,0.0002818
1404,0.000281767
1405,0.000272267
1406,0.000282833
1407,0.0002809
1408,0.000286567
1409,0.000286533
1410,0.0002866
1411,0.0002818
1412,0.0002866
1413,0.0002867
1414,0.000286567
1415,0.0002817
1416,0.000281833
1417,0.0002866
1418,0.000286533
1419,0.0002865
1420,0.000286633
1421,0.0002818
1422,0.000286567
1423,0.0002866
1424,0.0002865
1425,0.000286567
1426,0.000286533
1427,0.000286533
1428,0.000286667
1429,0.0002866
1430,0.000286533
1431,0.0002866
1432,0.0002818
1433,0.0002867
1434,0.000286433
1435,0.000286633
1436,0.0002865
1437,0.000286533
1438,0.000286567
1439,0.0002868
1440,0.000286533
1441,0.000286667
1442,0.000286633
1443,0.000286567
1444,0.000281833
1445,0.000286533
1446,0.000286533
1447,0.000286533
1448,0.000286567
1449,0.0002866
1450,0.000286633
1451,0.000286633
1452,0.000286667
1453,0.0002865
1454,0.0002867
1455,0.000286667
1456,0.0002864
1457,0.000286567
1458,0.000286567
1459,0.000286633
1460,0.000286567
1461,0.000286533
1462,0.0002865
1463,0.0002865
1464,0.000286567
1465,0.000286567
1466,0.000286533
1467,0.000286567
1468,0.000286567
1469,0.000286567
1470,0.000286567
1471,0.000286433
1472,0.000286567
1473,0.000286533
1474,0.000286567
1475,0.0002867
1476,0.0002866
1477,0.0002865
1478,0.0002866
1479,0.000287033
1480,0.000291333
1481,0.0002914
1482,0.000291333
1483,0.000286633
1484,0.000286633
1485,0.000286533
1486,0.000286633
1487,0.000290967
1488,0.000286733
1489,0.000286367
1490,0.000286733
1491,0.000286633
1492,0.0002866
1493,0.000286533
1494,0.0002866
1495,0.000286533
1496,0.0002865
1497,0.0002866
1498,0.000286567
1499,0.000286567
1500,0.000286567
1501,0.000286567
1502,0.000286633
1503,0.0002865
1504,0.000291433
1505,0.0002865
1506,0.000286567
1507,0.000291433
1508,0.000286633
1509,0.0002866
1510,0.000286633
1511,0.000286533
1512,0.000286667
1513,0.000286533
1514,0.000286667
1515,0.000286533
1516,0.000286567
1517,0.000286533
1518,0.0002866
1519,0.000286533
1520,0.0002866
1521,0.000286633
1522,0.0002914
1523,0.0002865
1524,0.000286467
1525,0.000286667
1526,0.0002865
1527,0.000286567
1528,0.000286567
1529,0.000286733
1530,0.000286433
1531,0.0002865
1532,0.000286633
1533,0.000286633
1534,0.0002913
1535,0.000286433
1536,0.000286567
1537,0.000286633
1538,0.0002865
1539,0.0002866
1540,0.000286667
1541,0.000291333
1542,0.0002866
1543,0.0002866
1544,0.000286567
1545,0.0002866
1546,0.0002866
1547,0.0002864
1548,0.000286633
1549,0.0002866
1550,0.000286533
1551,0.000286567
1552,0.000286667
1553,0.0002866
1554,0.000286633
1555,0.0002864
1556,0.000286533
1557,0.0002914
1558,0.000286567
1559,0.0002867
1560,0.0002866
1561,0.0002865
1562,0.000286433
1563,0.000286533
1564,0.000286567
1565,0.000286667
1566,0.0002866
1567,0.000286567
1568,0.000286567
1569,0.0002865
1570,0.000286633
1571,0.000291333
1572,0.000286633
1573,0.000291167
1574,0.000286633
1575,0.000286533
1576,0.000286667
1577,0.000286533
1578,0.000286633
1579,0.0002867
1580,0.0002865
1581,0.000286567
1582,0.000286567
1583,0.000286667
1584,0.000286533
1585,0.0002865
1586,0.000291433
1587,0.000286533
1588,0.000286433
1589,0.0002865
1590,0.000286567
1591,0.0002914
1592,0.000291333
1593,0.000286567
1594,0.000286633
1595,0.0002866
1596,0.0002913
1597,0.0002866
1598,0.000286633
1599,0.0002913
1600,0.0002865
1601,0.0002865
1602,0.0002867
1603,0.0002913
1604,0.0002867
1605,0.000286467
1606,0.000286533
